selected_row,pooled_source_row,trial_id,plane_index,cluster_index,correlation
7,228567,04192024_6f_a1_r6,6,567,0.069708126022356653
17,227522,04192024_6f_a1_r6,5,1522,0.094360894732102185
31,224183,04192024_6f_a1_r6,4,183,0.11104785637917627
32,222036,04192024_6f_a1_r6,3,36,0.1138662054592943
37,230379,04192024_6f_a1_r6,7,379,0.072090427522770048
39,236032,04192024_6f_a1_r6,10,32,0.099856801829419362
48,226011,04192024_6f_a1_r6,5,11,0.1027343545905989
50,222657,04192024_6f_a1_r6,3,657,0.12723162733613561
56,226599,04192024_6f_a1_r6,5,599,0.099502821304634559
59,224322,04192024_6f_a1_r6,4,322,0.10866963916364611
70,230654,04192024_6f_a1_r6,7,654,0.099261553055889545
73,226921,04192024_6f_a1_r6,5,921,0.09135508412439354
93,237600,04192024_6f_a1_r6,10,1600,0.096501488234015526
103,230801,04192024_6f_a1_r6,7,801,0.10335410803885219
113,229684,04192024_6f_a1_r6,6,1684,0.081119093378235904
116,237848,04192024_6f_a1_r6,10,1848,0.10227923241237891
140,224956,04192024_6f_a1_r6,4,956,0.10247277865793492
150,227734,04192024_6f_a1_r6,5,1734,0.095801437375683487
153,220147,04192024_6f_a1_r6,2,147,0.1044052241261121
173,232662,04192024_6f_a1_r6,8,662,0.11122379081538088
177,224068,04192024_6f_a1_r6,4,68,0.11354979791515138
189,229580,04192024_6f_a1_r6,6,1580,0.055185234078942366
224,228400,04192024_6f_a1_r6,6,400,0.08898906545171445
227,231222,04192024_6f_a1_r6,7,1222,0.085744464013354213
245,231906,04192024_6f_a1_r6,7,1906,0.08921262719239878
259,232518,04192024_6f_a1_r6,8,518,0.087893319654591809
268,237571,04192024_6f_a1_r6,10,1571,0.10448233589420027
270,244850,04192024_6f_a1_r6,14,850,0.098934970358484128
271,230810,04192024_6f_a1_r6,7,810,0.094455201705496594
279,237716,04192024_6f_a1_r6,10,1716,0.091881166657242774
280,226353,04192024_6f_a1_r6,5,353,0.1021497791635652
297,224225,04192024_6f_a1_r6,4,225,0.14327049700468347
298,224044,04192024_6f_a1_r6,4,44,0.10872709732371301
304,229571,04192024_6f_a1_r6,6,1571,0.12557142102788846
305,230018,04192024_6f_a1_r6,7,18,0.11658850796886233
355,229692,04192024_6f_a1_r6,6,1692,0.10366182604791399
358,224285,04192024_6f_a1_r6,4,285,0.11455000798943082
359,231173,04192024_6f_a1_r6,7,1173,0.10197366544480209
368,230657,04192024_6f_a1_r6,7,657,0.11097093057136903
370,226427,04192024_6f_a1_r6,5,427,0.14585872194614247
417,232477,04192024_6f_a1_r6,8,477,0.12105027698405733
427,224023,04192024_6f_a1_r6,4,23,0.13288637262443909
436,228464,04192024_6f_a1_r6,6,464,0.10483013504591415
437,227526,04192024_6f_a1_r6,5,1526,0.099735523794222777
443,233593,04192024_6f_a1_r6,8,1593,0.11616311280298938
447,222108,04192024_6f_a1_r6,3,108,0.15661707572779909
452,226426,04192024_6f_a1_r6,5,426,0.12132316905720321
459,224001,04192024_6f_a1_r6,4,1,0.11637514414061616
464,231585,04192024_6f_a1_r6,7,1585,0.10454127561541002
486,224920,04192024_6f_a1_r6,4,920,0.11914747994288405
490,229512,04192024_6f_a1_r6,6,1512,0.1291993328600371
492,218053,04192024_6f_a1_r6,1,53,0.13967331772183925
500,232781,04192024_6f_a1_r6,8,781,0.1249163838728462
504,222155,04192024_6f_a1_r6,3,155,0.10749752053237957
512,228242,04192024_6f_a1_r6,6,242,0.13162463294086382
516,224510,04192024_6f_a1_r6,4,510,0.12370914359408695
521,224476,04192024_6f_a1_r6,4,476,0.12838103209153939
563,226326,04192024_6f_a1_r6,5,326,0.12427848078640658
578,230825,04192024_6f_a1_r6,7,825,0.115568741847839
582,224888,04192024_6f_a1_r6,4,888,0.14114854387494552
583,228602,04192024_6f_a1_r6,6,602,0.10464725706311985
589,225726,04192024_6f_a1_r6,4,1726,0.12109088215428532
593,231560,04192024_6f_a1_r6,7,1560,0.13615056180332794
608,228505,04192024_6f_a1_r6,6,505,0.13443456368363008
612,226726,04192024_6f_a1_r6,5,726,0.12521105133477564
633,226936,04192024_6f_a1_r6,5,936,0.13900532930130799
658,227310,04192024_6f_a1_r6,5,1310,0.15083695419505738
659,229442,04192024_6f_a1_r6,6,1442,0.11874028344522396
661,232599,04192024_6f_a1_r6,8,599,0.12179241279380816
694,226589,04192024_6f_a1_r6,5,589,0.11545823517461631
706,220724,04192024_6f_a1_r6,2,724,0.13508385959197919
718,228077,04192024_6f_a1_r6,6,77,0.16014625914287903
730,230114,04192024_6f_a1_r6,7,114,0.12251598887649538
732,224400,04192024_6f_a1_r6,4,400,0.16050227160393898
735,227660,04192024_6f_a1_r6,5,1660,0.11511941487299077
738,229739,04192024_6f_a1_r6,6,1739,0.11116845800863928
768,226061,04192024_6f_a1_r6,5,61,0.15031835122382062
777,229903,04192024_6f_a1_r6,6,1903,0.16738439863273397
790,232574,04192024_6f_a1_r6,8,574,0.13366090529982447
792,220441,04192024_6f_a1_r6,2,441,0.14945063884100021
793,224075,04192024_6f_a1_r6,4,75,0.17143560829784452
