selected_row,pooled_source_row,trial_id,plane_index,cluster_index,correlation
0,180389,04192024_6f_a1_r2,9,389,0.08903722858631119
2,280222,04192024_6f_a1_r9,5,222,0.04804813354824964
4,68633,04032024_6f_a2_r5,7,633,0.069715005535327002
7,228567,04192024_6f_a1_r6,6,567,0.069708126022356653
9,116702,04162024_6f_a1_r1,4,702,0.072454319583372562
11,64406,04032024_6f_a2_r5,5,406,0.080478604749601945
12,178709,04192024_6f_a1_r2,8,709,0.041306899426818686
15,69974,04032024_6f_a2_r5,7,1974,0.10109536849269063
16,168604,04192024_6f_a1_r2,3,604,0.089153523169469687
17,227522,04192024_6f_a1_r6,5,1522,0.094360894732102185
19,112936,04162024_6f_a1_r1,2,936,0.029483865674703118
21,60912,04032024_6f_a2_r5,3,912,0.092716538768234921
22,164373,04192024_6f_a1_r2,1,373,0.08395933448868656
23,112139,04162024_6f_a1_r1,2,139,0.077574352110254957
25,124447,04162024_6f_a1_r1,8,447,0.06304638402156422
27,166081,04192024_6f_a1_r2,2,81,0.099284336562506459
28,91672,04032024_6f_a2_r5,18,1672,0.044356342963737416
29,176294,04192024_6f_a1_r2,7,294,0.085837698879579261
30,82860,04032024_6f_a2_r5,14,860,0.073517065826616088
31,224183,04192024_6f_a1_r6,4,183,0.11104785637917627
32,222036,04192024_6f_a1_r6,3,36,0.1138662054592943
33,284457,04192024_6f_a1_r9,7,457,0.040253979807089606
36,176510,04192024_6f_a1_r2,7,510,0.083307776712824799
37,230379,04192024_6f_a1_r6,7,379,0.072090427522770048
39,236032,04192024_6f_a1_r6,10,32,0.099856801829419362
41,62401,04032024_6f_a2_r5,4,401,0.097501297135544118
42,166417,04192024_6f_a1_r2,2,417,0.074560256669456523
44,58411,04032024_6f_a2_r5,2,411,0.10612745302103861
45,72088,04032024_6f_a2_r5,9,88,0.052127247141632291
46,116506,04162024_6f_a1_r1,4,506,0.053060200285383906
48,226011,04192024_6f_a1_r6,5,11,0.1027343545905989
49,56458,04032024_6f_a2_r5,1,458,0.080105045496931412
50,222657,04192024_6f_a1_r6,3,657,0.12723162733613561
52,73478,04032024_6f_a2_r5,9,1478,0.09098006008656527
53,70969,04032024_6f_a2_r5,8,969,0.059813791279838165
56,226599,04192024_6f_a1_r6,5,599,0.099502821304634559
57,122139,04162024_6f_a1_r1,7,139,0.06004782287325712
58,56869,04032024_6f_a2_r5,1,869,0.077724813131477305
59,224322,04192024_6f_a1_r6,4,322,0.10866963916364611
61,84202,04032024_6f_a2_r5,15,202,0.059769263364321236
62,298457,04192024_6f_a1_r9,14,457,0.03894021830544446
63,112092,04162024_6f_a1_r1,2,92,0.053058903062106026
64,280288,04192024_6f_a1_r9,5,288,0.071999941316534505
65,68734,04032024_6f_a2_r5,7,734,0.074922703251302264
67,114982,04162024_6f_a1_r1,3,982,0.081246911016606679
68,270195,04192024_6f_a1_r9,0,195,0.0537110744582001
69,72672,04032024_6f_a2_r5,9,672,0.081123781211376589
70,230654,04192024_6f_a1_r6,7,654,0.099261553055889545
71,164529,04192024_6f_a1_r2,1,529,0.089136206433288484
73,226921,04192024_6f_a1_r6,5,921,0.09135508412439354
74,69676,04032024_6f_a2_r5,7,1676,0.073747954526345041
75,174065,04192024_6f_a1_r2,6,65,0.069168100766228785
76,290631,04192024_6f_a1_r9,10,631,0.078828939729490344
77,276161,04192024_6f_a1_r9,3,161,0.041250362186488809
79,96001,04032024_6f_a2_r5,21,1,0.081530057307659484
80,114714,04162024_6f_a1_r1,3,714,0.074316177191714017
81,278898,04192024_6f_a1_r9,4,898,0.034693950630829647
82,117853,04162024_6f_a1_r1,4,1853,0.082749637579259683
