source_id,target_id,weight
AB(R),AB(R),8
AB(R),CX,921
AB(R),LAL(R),35
AB(R),LH(R),2
AB(R),SLP(R),3
AB(R),SNP(R),10
AB(R),unknown,26
AL(L),AL(L),339442
AL(L),AL(R),81303
AL(L),ATL(L),9
AL(L),AVLP(R),3
AL(L),CA(L),1036
AL(L),"CRE(-ROB,-RUB)(R)",4
AL(L),CRE(-RUB)(L),1
AL(L),CRE(R),1
AL(L),CX,319
AL(L),EPA(L),2
AL(L),GC,4
AL(L),INP,32
AL(L),LAL(-GA)(R),16
AL(L),LAL(L),1
AL(L),LH(R),191
AL(L),LO(R),1
AL(L),MB(+ACA)(R),9
AL(L),MB(L),1
AL(L),OL(R),1
AL(L),PLP(R),9
AL(L),SLP(R),2
AL(L),SMP(L),28
AL(L),SMP(R),22
AL(L),SNP(L),89
AL(L),SNP(R),72
AL(L),VES(R),2
AL(L),VLNP(R),63
AL(L),VMNP,9
AL(L),mALT(L),165
AL(L),unknown,17069
AL(R),AB(R),3
AL(R),AL(L),80156
AL(R),AL(R),1306452
AL(R),AME(R),2
AL(R),AMMC,19
AL(R),AOTU(R),25
AL(R),ATL(L),9
AL(R),AVLP(R),793
AL(R),CA(L),4
AL(R),CA(R),2933
AL(R),CAN(R),4
AL(R),"CRE(-ROB,-RUB)(R)",247
AL(R),CRE(-RUB)(L),5
AL(R),CRE(R),148
AL(R),CX,1541
AL(R),FLA(R),3
AL(R),GC,32
AL(R),GNG,461
AL(R),IB,2
AL(R),ICL(R),12
AL(R),INP,9341
AL(R),IPS(R),6
AL(R),LAL(-GA)(R),819
AL(R),LAL(L),1
AL(R),LAL(R),13
AL(R),LH(R),103667
AL(R),LO(R),391
AL(R),LX(R),70
AL(R),MB(+ACA)(R),188589
AL(R),MB(L),793
AL(R),ME(R),13
AL(R),OL(R),41
AL(R),PENP,1310
AL(R),PLP(R),4791
AL(R),POC,26
AL(R),PVLP(R),1
AL(R),SIP(R),35
AL(R),SLP(R),17535
AL(R),SMP(L),213
AL(R),SMP(R),114
AL(R),SNP(L),376
AL(R),SNP(R),55968
AL(R),SPS(L),3
AL(R),SPS(R),7
AL(R),VES(R),212
AL(R),VLNP(R),30078
AL(R),VMNP,2222
AL(R),mALT(L),9
AL(R),unknown,50158
AME(R),AME(R),499
AME(R),CX,4
AME(R),IB,1
AME(R),ICL(R),6
AME(R),INP,211
AME(R),IPS(R),25
AME(R),LO(R),2
AME(R),MB(+ACA)(R),1
AME(R),OL(R),1847
AME(R),PLP(R),289
AME(R),POC,9
AME(R),SLP(R),4
AME(R),SMP(L),2
AME(R),SNP(L),2
AME(R),SNP(R),85
AME(R),VLNP(R),1401
AME(R),VMNP,353
AME(R),unknown,90
AMMC,AL(R),34
AMMC,AMMC,13099
AMMC,GF(R),1
AMMC,GNG,695
AMMC,INP,86
AMMC,IPS(R),1
AMMC,LAL(-GA)(R),13
AMMC,LH(R),2
AMMC,LO(R),12
AMMC,OL(R),2
AMMC,PENP,19270
AMMC,PVLP(R),2
AMMC,SNP(R),2
AMMC,VES(R),2
AMMC,VLNP(R),13950
AMMC,VMNP,242
AMMC,unknown,917
AOT(R),AOTU(R),9
AOT(R),LO(R),6
AOT(R),VLNP(R),1
