label,count,+1,0,-1,entropy,purity
(ADL08)_L,6,6,0,0,-0.000000,1.000000
(ADM01)_L,81,80,1,0,0.095970,0.987654
(ADM03)_L,39,29,10,0,0.821281,0.743590
(ADM03)_R,1,1,0,0,-0.000000,1.000000
(ADM04)_L,40,38,2,0,0.286397,0.950000
(ADM10)_L,2,1,1,0,1.000000,0.500000
(ADM12)_L,1,1,0,0,-0.000000,1.000000
(AVL01)_R,1,1,0,0,-0.000000,1.000000
(AVL15)_R,1,1,0,0,-0.000000,1.000000
(AVL22)_R,1,0,1,0,-0.000000,1.000000
(AVM06)_R,5,5,0,0,-0.000000,1.000000
(AVM09)_L,48,48,0,0,-0.000000,1.000000
(AVM09)_R,1,1,0,0,-0.000000,1.000000
(AVM11)_R,2,2,0,0,-0.000000,1.000000
(AVM12)_L?,4,4,0,0,-0.000000,1.000000
(AVM15)_R,12,5,7,0,0.979869,0.583333
(AVM18)_R,11,2,9,0,0.684038,0.818182
(AVM19)_L,11,3,8,0,0.845351,0.727273
(AVM19)_R,5,3,2,0,0.970951,0.600000
(AVM20)_L,2,2,0,0,-0.000000,1.000000
(GC),1,1,0,0,-0.000000,1.000000
(LWF1)_R,28,28,0,0,-0.000000,1.000000
(LWF2)_R,55,55,0,0,-0.000000,1.000000
(LWF3)_R,39,39,0,0,-0.000000,1.000000
(LWF4)_R,6,6,0,0,-0.000000,1.000000
(LWF5)_R,53,53,0,0,-0.000000,1.000000
(LWF6)_R,50,50,0,0,-0.000000,1.000000
(LWF7)_R,53,53,0,0,-0.000000,1.000000
(MBDLaxon1),234,234,0,0,-0.000000,1.000000
(MBDLaxon2),73,73,0,0,-0.000000,1.000000
(PDL14)_L,14,14,0,0,-0.000000,1.000000
(PDM05)_L,54,50,4,0,0.380947,0.925926
(PDM08)_L,3,3,0,0,-0.000000,1.000000
(PDM09)_L,65,52,13,0,0.721928,0.800000
(PDM12)_L,53,52,1,0,0.135036,0.981132
(PDM13)_L,11,10,1,0,0.439497,0.909091
(PDM14)_L,17,1,16,0,0.322757,0.941176
(PDM14)_R,5,0,5,0,-0.000000,1.000000
(PDM15)_L,44,43,1,0,0.156491,0.977273
(PDM15)_R,1,1,0,0,-0.000000,1.000000
(PDM16)_L,39,39,0,0,-0.000000,1.000000
(PDM17)_L,9,8,1,0,0.503258,0.888889
(PDM17)_R,9,8,1,0,0.503258,0.888889
(PDM19)_L,58,52,6,0,0.479832,0.896552
(PDM21)_L,2,2,0,0,-0.000000,1.000000
(PDM26)_L,8,8,0,0,-0.000000,1.000000
(PDM27)_L,6,4,2,0,0.918296,0.666667
(PDM27)_R,1,1,0,0,-0.000000,1.000000
(PDM28)_L,4,3,1,0,0.811278,0.750000
(PDM31)_R,2,1,1,0,1.000000,0.500000
(PLBDL10)_R,16,16,0,0,-0.000000,1.000000
(PLBDL3)_R,2,2,0,0,-0.000000,1.000000
(PLBDL4)_R,13,13,0,0,-0.000000,1.000000
(PLBDL8)_R,9,9,0,0,-0.000000,1.000000
(PLBDL9)_R,9,9,0,0,-0.000000,1.000000
(PVF3)_R,13,13,0,0,-0.000000,1.000000
(PVF4)_R,67,67,0,0,-0.000000,1.000000
(PVF5)_R,4,4,0,0,-0.000000,1.000000
(PVL01)_R,26,7,19,0,0.840359,0.730769
(PVL04)_R,1,1,0,0,-0.000000,1.000000
(PVL05)_L,92,92,0,0,-0.000000,1.000000
(PVL05)_L?,1,1,0,0,-0.000000,1.000000
(PVL12)_R,1,0,1,0,-0.000000,1.000000
(PVL15)_R,1,1,0,0,-0.000000,1.000000
(PVM01)_L,87,86,1,0,0.090544,0.988506
