node_index,body_id,value
0,0,1
1,34,1
2,80,1
3,262,1
4,373,1
5,429,1
6,858,1
7,935,1
8,984,1
9,1002,1
10,1003,1
11,1019,1
12,1033,1
13,1046,1
14,1057,1
15,1068,1
16,1096,1
17,1114,1
18,1129,1
19,1136,1
20,1162,1
21,1184,1
22,1215,1
23,1224,1
24,1228,1
25,1332,1
26,1334,1
27,1351,1
28,1427,1
29,1458,1
30,1507,1
31,1532,1
32,1562,1
33,1567,1
34,1569,1
35,1570,1
36,1575,1
37,1597,1
38,1599,1
39,1623,1
40,1635,1
41,1650,1
42,1673,1
43,1676,1
44,1681,1
45,1695,1
46,1713,1
47,1715,1
48,1716,1
49,1722,1
50,1724,1
51,1728,1
52,1729,1
53,1745,1
54,1754,1
55,1765,1
56,1768,1
57,1781,1
58,1788,1
59,1,1
60,202,1
61,375,1
62,381,1
63,735,1
64,860,1
65,907,1
66,1047,1
67,1058,1
68,1078,1
69,1079,1
70,1143,1
71,1256,1
72,1417,1
73,1463,1
74,1560,1
75,1564,1
76,1579,1
77,1585,1
78,1601,1
79,1607,1
80,1608,1
81,1612,1
82,1629,1
83,1631,1
84,1634,1
85,1666,1
86,1674,1
87,1677,1
88,1703,1
89,1720,1
90,1741,1
91,1746,1
92,1752,1
93,1755,1
94,1757,1
95,1761,1
96,1769,1
97,1780,1
98,1789,1
99,1795,1
100,2,1
101,37,1
102,199,1
103,207,1
104,859,1
105,987,1
106,1106,1
107,1207,1
108,1286,1
109,1355,1
110,1408,1
111,1412,1
112,1426,1
113,1488,1
114,1494,1
115,1541,1
116,1542,1
117,1554,1
118,1571,1
119,1583,1
120,1598,1
121,1605,1
122,1636,1
123,1639,1
124,1651,1
125,1690,1
126,1717,1
127,1726,1
128,1743,1
129,1747,1
130,1753,1
131,1756,1
132,1782,1
133,1783,1
134,1785,1
135,1787,1
136,1791,1
137,1796,1
138,1797,1
139,1798,1
140,3,1
141,143,1
142,555,1
143,964,1
144,1089,1
145,1105,1
146,1294,1
147,1314,1
148,1462,1
149,1475,1
150,1528,1
151,1565,1
152,1574,1
153,1620,1
154,1628,1
155,1632,1
156,1644,1
157,1646,1
158,1654,1
159,1661,1
160,1668,1
161,1671,1
162,1685,1
163,1704,1
164,1705,1
165,1714,1
166,1719,1
167,1734,1
168,1735,1
169,1744,1
170,1751,1
171,1762,1
172,1777,1
173,1790,1
174,1794,1
175,4,1
176,380,1
177,1005,1
178,1345,1
179,1466,1
180,1525,1
181,1580,1
182,1592,1
183,1610,1
184,1614,1
185,1662,1
186,1678,1
187,1682,1
188,1683,1
189,1686,1
190,1694,1
191,1699,1
192,1738,1
193,1750,1
194,1763,1
195,1764,1
196,1770,1
197,1771,1
198,1784,1
199,1792,1
200,1793,1
201,5,1
202,142,1
203,320,1
204,906,1
205,1326,1
206,1443,1
207,1460,1
208,1493,1
209,1499,1
210,1521,1
211,1530,1
212,1550,1
213,1573,1
214,1577,1
215,1588,1
216,1613,1
217,1615,1
