node_index,body_id,value
0,0,1
1,1,1
2,3,1
3,6,1
4,7,1
5,11,1
6,16,1
7,19,1
8,23,1
9,24,1
10,25,1
11,26,1
12,31,1
13,32,1
14,34,1
15,35,1
16,38,1
17,39,1
18,41,1
19,44,1
20,47,1
21,48,1
22,50,1
23,51,1
24,52,1
25,53,1
26,55,1
27,60,1
28,61,1
29,62,1
30,64,1
31,65,1
32,67,1
33,69,1
34,70,1
35,71,1
36,72,1
37,73,1
38,76,1
39,77,1
40,78,1
41,79,1
42,82,1
43,84,1
44,87,1
45,88,1
46,90,1
47,92,1
48,94,1
49,97,1
50,98,1
51,99,1
52,100,1
53,101,1
54,102,1
55,103,1
56,105,1
57,106,1
58,107,1
59,108,1
60,110,1
61,111,1
62,112,1
63,113,1
64,114,1
65,116,1
66,118,1
67,119,1
68,120,1
69,121,1
70,122,1
71,123,1
72,124,1
73,125,1
74,127,1
75,128,1
76,130,1
77,132,1
78,134,1
79,136,1
80,137,1
81,138,1
82,139,1
83,142,1
84,143,1
85,145,1
86,146,1
87,148,1
88,150,1
89,151,1
90,153,1
91,154,1
92,155,1
93,156,1
94,157,1
95,158,1
96,159,1
97,160,1
98,161,1
99,162,1
100,164,1
101,165,1
102,167,1
103,168,1
104,171,1
105,175,1
106,177,1
107,178,1
108,180,1
109,181,1
110,182,1
111,184,1
112,185,1
113,186,1
114,188,1
115,189,1
116,190,1
117,192,1
118,193,1
119,196,1
120,198,1
121,200,1
122,203,1
123,204,1
124,205,1
125,206,1
126,208,1
127,209,1
128,210,1
129,212,1
130,216,1
131,218,1
132,220,1
133,221,1
134,222,1
135,223,1
136,224,1
137,225,1
138,226,1
139,227,1
140,228,1
141,229,1
142,230,1
143,231,1
144,232,1
145,234,1
146,235,1
147,236,1
148,238,1
149,246,1
150,247,1
151,248,1
152,249,1
153,250,1
154,251,1
155,252,1
156,253,1
157,256,1
158,258,1
159,260,1
160,261,1
161,262,1
162,263,1
163,264,1
164,265,1
165,267,1
166,271,1
167,272,1
168,273,1
169,274,1
170,275,1
171,278,1
172,279,1
173,280,1
174,281,1
175,285,1
176,287,1
177,289,1
178,290,1
179,291,1
180,292,1
181,294,1
182,298,1
183,300,1
184,305,1
185,306,1
186,307,1
187,310,1
188,311,1
189,312,1
190,315,1
191,319,1
192,320,1
193,322,1
194,323,1
195,325,1
196,326,1
197,327,1
198,328,1
199,330,1
200,332,1
201,333,1
202,338,1
203,339,1
204,340,1
205,341,1
206,344,1
207,348,1
208,349,1
209,350,1
210,352,1
211,353,1
212,355,1
213,357,1
214,358,1
215,360,1
216,361,1
217,362,1
218,364,1
219,365,1
220,366,1
221,367,1
222,370,1
223,371,1
224,372,1
225,375,1
226,376,1
227,378,1
228,381,1
229,382,1
230,383,1
231,384,1
232,386,1
233,389,1
234,391,1
235,392,1
236,393,1
237,394,1
238,395,1
239,397,1
240,400,1
241,403,1
242,405,1
243,408,1
244,410,1
245,412,1
246,413,1
247,414,1
248,415,1
249,417,1
250,418,1
251,424,1
252,425,1
253,428,1
254,430,1
255,433,1
256,434,1
257,436,1
258,438,1
259,442,1
260,443,1
261,445,1
262,446,1
263,448,1
264,451,1
265,453,1
266,454,1
267,455,1
268,458,1
269,459,1
270,460,1
271,462,1
272,463,1
273,464,1
274,465,1
275,467,1
276,468,1
277,469,1
278,470,1
279,472,1
280,479,1
281,480,1
282,481,1
283,484,1
284,485,1
285,487,1
286,489,1
287,490,1
288,491,1
289,494,1
290,495,1
291,497,1
292,498,1
293,500,1
294,504,1
295,505,1
296,506,1
297,507,1
298,509,1
299,519,1
300,520,1
301,521,1
302,522,1
303,523,1
304,525,1
305,528,1
306,529,1
307,532,1
308,534,1
309,535,1
310,538,1
311,539,1
312,541,1
313,543,1
314,544,1
315,545,1
316,546,1
317,547,1
318,548,1
319,550,1
320,552,1
321,553,1
322,555,1
323,557,1
324,558,1
325,559,1
326,561,1
327,564,1
328,566,1
329,568,1
330,569,1
331,570,1
332,571,1
333,572,1
334,573,1
335,574,1
336,577,1
337,578,1
338,579,1
339,580,1
340,581,1
341,582,1
342,583,1
343,584,1
344,585,1
345,587,1
346,588,1
347,589,1
348,591,1
349,594,1
350,595,1
351,596,1
352,597,1
353,601,1
354,602,1
355,603,1
356,604,1
357,605,1
358,606,1
359,608,1
360,610,1
361,611,1
362,612,1
363,616,1
364,617,1
365,620,1
366,621,1
367,622,1
368,623,1
369,624,1
370,627,1
371,628,1
372,630,1
373,633,1
374,634,1
375,635,1
376,637,1
377,638,1
378,639,1
379,640,1
380,642,1
381,645,1
382,647,1
383,649,1
384,650,1
385,651,1
386,653,1
387,655,1
388,656,1
389,659,1
390,660,1
391,661,1
392,666,1
393,667,1
394,668,1
395,670,1
396,671,1
397,672,1
398,673,1
399,674,1
400,675,1
401,676,1
402,677,1
403,680,1
404,681,1
405,683,1
406,686,1
407,687,1
408,688,1
409,690,1
410,691,1
411,692,1
412,693,1
413,694,1
414,695,1
415,696,1
416,697,1
417,698,1
418,699,1
419,701,1
420,702,1
421,704,1
422,706,1
423,709,1
424,710,1
425,711,1
426,714,1
427,716,1
428,717,1
429,718,1
430,719,1
431,725,1
432,730,1
433,732,1
434,734,1
435,735,1
436,736,1
437,737,1
438,738,1
439,739,1
440,743,1
441,744,1
442,745,1
443,746,1
444,747,1
445,748,1
446,752,1
447,753,1
448,754,1
449,756,1
450,757,1
451,758,1
452,759,1
453,762,1
454,763,1
455,764,1
456,765,1
457,769,1
458,770,1
459,771,1
460,772,1
461,773,1
462,774,1
463,775,1
464,777,1
465,781,1
466,783,1
467,785,1
468,786,1
469,787,1
470,788,1
471,791,1
472,793,1
473,794,1
474,800,1
475,801,1
476,804,1
477,805,1
478,807,1
479,808,1
480,809,1
481,810,1
482,811,1
483,813,1
484,815,1
485,816,1
486,817,1
487,818,1
488,821,1
489,823,1
490,824,1
491,825,1
492,827,1
493,828,1
494,829,1
495,831,1
496,833,1
497,834,1
498,836,1
499,837,1
500,838,1
501,839,1
502,841,1
503,843,1
504,844,1
505,845,1
506,846,1
507,848,1
508,849,1
509,850,1
510,853,1
511,855,1
512,857,1
513,858,1
514,861,1
515,862,1
516,864,1
517,866,1
518,868,1
519,869,1
520,870,1
521,871,1
522,875,1
523,876,1
524,877,1
525,878,1
526,879,1
527,880,1
528,884,1
529,885,1
530,890,1
531,891,1
532,892,1
533,896,1
534,897,1
535,898,1
536,899,1
537,900,1
538,902,1
539,903,1
540,904,1
541,906,1
542,908,1
543,909,1
544,910,1
545,911,1
546,912,1
547,914,1
548,915,1
549,916,1
550,919,1
551,920,1
552,921,1
553,924,1
554,925,1
555,926,1
556,927,1
557,929,1
558,930,1
559,931,1
560,934,1
561,937,1
562,938,1
563,939,1
564,942,1
565,943,1
566,944,1
567,947,1
568,949,1
569,950,1
570,951,1
571,953,1
572,954,1
573,955,1
574,957,1
575,960,1
576,962,1
577,964,1
578,965,1
579,966,1
580,967,1
581,970,1
582,971,1
583,972,1
584,973,1
585,974,1
586,976,1
587,979,1
588,982,1
589,985,1
590,987,1
591,989,1
592,990,1
593,991,1
594,992,1
595,993,1
596,994,1
597,996,1
598,997,1
599,999,1
600,1001,1
601,1003,1
602,1004,1
603,1006,1
604,1012,1
605,1014,1
606,1015,1
607,1016,1
608,1017,1
609,1019,1
610,1021,1
611,1026,1
612,1027,1
613,1029,1
614,1033,1
615,1034,1
616,1036,1
617,1038,1
618,1040,1
619,1041,1
620,1042,1
621,1043,1
622,1044,1
623,1045,1
624,1046,1
625,1048,1
626,1049,1
627,1053,1
628,1055,1
629,1057,1
630,1058,1
631,1059,1
632,1060,1
633,1061,1
634,1062,1
635,1063,1
636,1064,1
637,1065,1
638,1066,1
639,1067,1
640,1068,1
641,1070,1
642,1071,1
643,1072,1
644,1076,1
645,1081,1
646,1082,1
647,1083,1
648,1085,1
649,1086,1
650,1088,1
651,1090,1
652,1094,1
653,1095,1
654,1096,1
655,1100,1
656,1104,1
657,1105,1
658,1106,1
659,1107,1
660,1108,1
661,1109,1
662,1111,1
663,1112,1
664,1113,1
665,1114,1
666,1115,1
667,1116,1
668,1120,1
669,1122,1
670,1125,1
671,1127,1
672,1128,1
673,1130,1
674,1131,1
675,1133,1
676,1136,1
677,1137,1
678,1138,1
679,1139,1
680,1140,1
681,1141,1
682,1142,1
683,1145,1
684,1147,1
685,1148,1
686,1149,1
687,1150,1
688,1151,1
689,1156,1
690,1160,1
691,1161,1
692,1162,1
693,1163,1
694,1164,1
695,1167,1
696,1168,1
697,1169,1
698,1170,1
699,1172,1
700,1174,1
701,1175,1
702,1176,1
703,1177,1
704,1179,1
705,1180,1
706,1181,1
707,1183,1
708,1184,1
709,1185,1
710,1186,1
711,1188,1
712,1189,1
713,1191,1
714,1193,1
715,1195,1
716,1196,1
717,1197,1
718,1198,1
719,1201,1
720,1203,1
721,1205,1
722,1206,1
723,1207,1
724,1208,1
725,1209,1
726,1210,1
727,1212,1
728,1213,1
729,1214,1
730,1216,1
731,1217,1
732,1219,1
733,1220,1
734,1221,1
735,1222,1
736,1223,1
737,1225,1
738,1226,1
739,1228,1
740,1229,1
741,1230,1
742,1231,1
743,1233,1
744,1234,1
745,1236,1
746,1237,1
747,1238,1
748,1239,1
749,1240,1
750,1243,1
751,1244,1
752,1245,1
753,1246,1
754,1247,1
755,1248,1
756,1249,1
757,1250,1
758,1251,1
759,1252,1
760,1253,1
761,1254,1
762,1255,1
763,1257,1
764,1259,1
765,1261,1
766,1262,1
767,1265,1
768,1266,1
769,1267,1
770,1268,1
771,1269,1
772,1271,1
773,1273,1
774,1274,1
775,1280,1
776,1282,1
777,1283,1
778,1284,1
779,1285,1
780,1286,1
781,1288,1
782,1289,1
783,1290,1
784,1291,1
785,1293,1
786,1294,1
787,1295,1
788,1297,1
789,1299,1
790,1300,1
791,1301,1
792,1302,1
793,1303,1
794,1304,1
795,1305,1
796,1306,1
797,1307,1
798,1310,1
799,1311,1
800,1312,1
801,1313,1
802,1314,1
803,1316,1
804,1317,1
805,1319,1
806,1320,1
807,1321,1
808,1322,1
809,1323,1
810,1325,1
811,1329,1
812,1330,1
813,1331,1
814,1336,1
815,1339,1
816,1340,1
817,1344,1
818,1345,1
819,1346,1
820,1347,1
821,1349,1
822,1350,1
823,1351,1
824,1352,1
825,1353,1
826,1354,1
827,1355,1
828,1358,1
829,1359,1
830,1362,1
831,1363,1
832,1364,1
833,1365,1
834,1366,1
835,1370,1
836,1373,1
837,1375,1
838,1377,1
839,1379,1
840,1381,1
841,1382,1
842,1384,1
843,1385,1
844,1386,1
845,1387,1
846,1388,1
847,1391,1
848,1393,1
849,1394,1
850,1396,1
851,1397,1
852,1403,1
853,1408,1
854,1409,1
855,1410,1
856,1413,1
857,1416,1
858,1417,1
859,1418,1
860,1420,1
861,1422,1
862,1423,1
863,1425,1
864,1427,1
865,1431,1
866,1433,1
867,1434,1
868,1436,1
869,1438,1
870,1439,1
871,1447,1
872,1448,1
873,1450,1
874,1451,1
875,1452,1
876,1453,1
877,1457,1
878,1458,1
879,1459,1
880,1460,1
881,1461,1
882,1463,1
883,1466,1
884,1467,1
885,1470,1
886,1472,1
887,1475,1
888,1477,1
889,1478,1
890,1479,1
891,1481,1
892,1484,1
893,1485,1
894,1489,1
895,1491,1
896,1492,1
897,1494,1
898,1495,1
899,1497,1
900,1498,1
901,1499,1
902,1501,1
903,1504,1
904,1506,1
905,1509,1
906,1510,1
907,1514,1
908,1515,1
909,1516,1
910,1517,1
911,1518,1
912,1521,1
913,1522,1
914,1523,1
915,1524,1
916,1525,1
917,1526,1
918,1527,1
919,1530,1
920,1531,1
921,1532,1
922,1534,1
923,1535,1
924,1536,1
925,1537,1
926,1539,1
927,1540,1
928,1541,1
929,1544,1
930,1546,1
931,1547,1
932,1549,1
933,1554,1
934,1555,1
935,1557,1
936,1558,1
937,1562,1
938,1563,1
939,1564,1
940,1565,1
941,1569,1
942,1571,1
943,1572,1
944,1573,1
945,1578,1
946,1579,1
947,1580,1
948,1581,1
949,1586,1
950,1587,1
951,1588,1
952,1590,1
953,1591,1
954,1592,1
955,1593,1
956,1594,1
957,1599,1
958,1600,1
959,1601,1
960,1602,1
961,1604,1
962,1607,1
963,1609,1
964,1610,1
965,1611,1
966,1612,1
967,1613,1
968,1614,1
969,1617,1
970,1618,1
971,1619,1
972,1621,1
973,1623,1
974,1624,1
975,1627,1
976,1631,1
977,1634,1
978,1635,1
979,1636,1
980,1637,1
981,1638,1
982,1639,1
983,1640,1
984,1642,1
985,1646,1
986,1648,1
987,1650,1
988,1652,1
989,1653,1
990,1654,1
991,1655,1
992,1656,1
993,1659,1
994,1662,1
995,1663,1
996,1666,1
997,1667,1
998,1668,1
999,1669,1
1000,1671,1
1001,1672,1
1002,1673,1
1003,1675,1
1004,1678,1
1005,1680,1
1006,1681,1
1007,1682,1
1008,1684,1
1009,1687,1
1010,1689,1
1011,1691,1
1012,1692,1
1013,1693,1
1014,1694,1
1015,1700,1
1016,1701,1
1017,1705,1
1018,1706,1
1019,1708,1
1020,1710,1
1021,1712,1
1022,1714,1
1023,1715,1
1024,1717,1
1025,1718,1
1026,1720,1
1027,1724,1
1028,1725,1
1029,1726,1
1030,1727,1
1031,1728,1
1032,1729,1
1033,1733,1
1034,1734,1
1035,1736,1
1036,1740,1
1037,1742,1
1038,1743,1
1039,1746,1
1040,1747,1
1041,1748,1
1042,1749,1
1043,1751,1
1044,1752,1
1045,1753,1
1046,1754,1
1047,1755,1
1048,1758,1
1049,1760,1
1050,1762,1
1051,1764,1
1052,1768,1
1053,1770,1
1054,1771,1
1055,1773,1
1056,1776,1
1057,1777,1
1058,1779,1
1059,1783,1
1060,1784,1
1061,1785,1
1062,1786,1
1063,1788,1
1064,1790,1
1065,1791,1
1066,1792,1
1067,1796,1
1068,1798,1
1069,1799,1
1070,1800,1
1071,1804,1
1072,1805,1
1073,1806,1
1074,1808,1
1075,1809,1
1076,1810,1
1077,1811,1
1078,1812,1
1079,1813,1
1080,1814,1
1081,1815,1
1082,1818,1
1083,1819,1
1084,1820,1
1085,1821,1
1086,1823,1
1087,1824,1
1088,1825,1
1089,1826,1
1090,1827,1
1091,1828,1
1092,1829,1
1093,1832,1
1094,1833,1
1095,1834,1
1096,1842,1
1097,1844,1
1098,1846,1
1099,1849,1
1100,1853,1
1101,1854,1
1102,1857,1
1103,1858,1
1104,1859,1
1105,1863,1
1106,1864,1
1107,1865,1
1108,1867,1
1109,1868,1
1110,1869,1
1111,1870,1
1112,1871,1
1113,1872,1
1114,1873,1
1115,1875,1
