step,node_index,body_id,prev_value,new_value
1,0,0,-1,1
1,3,3,-1,1
1,6,6,-1,1
1,13,13,-1,1
1,15,15,-1,1
1,16,16,-1,1
1,17,17,-1,1
1,21,21,-1,1
1,27,27,-1,1
1,29,29,-1,1
1,32,32,-1,1
1,36,36,-1,1
1,38,38,-1,1
1,48,48,-1,1
1,64,64,0,1
1,65,65,-1,1
1,66,66,-1,1
1,69,69,-1,1
1,70,70,-1,1
1,71,71,-1,1
1,74,74,-1,1
1,79,79,-1,1
1,90,90,-1,1
1,97,97,-1,1
1,101,101,-1,1
1,107,107,-1,1
1,108,108,-1,1
1,111,111,-1,1
1,116,116,-1,1
1,120,120,-1,1
1,121,121,-1,1
1,122,122,-1,1
1,138,138,-1,1
1,144,144,-1,1
1,152,152,-1,1
1,155,155,-1,1
1,156,156,-1,1
1,157,157,-1,1
1,161,161,-1,1
1,164,164,-1,1
1,171,171,-1,1
1,173,173,-1,1
1,176,176,-1,1
1,179,179,-1,1
1,183,183,-1,1
1,185,185,-1,1
1,191,191,-1,1
1,195,195,-1,1
1,200,200,-1,1
1,202,202,-1,1
1,203,203,-1,1
1,204,204,-1,1
1,206,206,-1,1
1,207,207,-1,1
1,208,208,-1,1
1,217,217,-1,1
1,219,219,0,1
1,224,224,-1,1
1,229,229,-1,1
1,232,232,-1,1
1,234,234,-1,1
1,238,238,-1,1
1,239,239,-1,1
1,240,240,-1,1
1,249,249,-1,1
1,253,253,-1,1
1,255,255,-1,1
1,263,263,0,1
1,264,264,-1,1
1,266,266,-1,1
1,268,268,-1,1
1,269,269,-1,1
1,277,277,-1,1
1,290,290,-1,1
1,291,291,-1,1
1,295,295,-1,1
1,297,297,-1,1
1,300,300,-1,1
1,307,307,-1,1
1,308,308,-1,1
1,312,312,-1,1
1,315,315,-1,1
1,318,318,-1,1
1,323,323,-1,1
1,325,325,-1,1
1,329,329,-1,1
1,331,331,-1,1
1,335,335,-1,1
1,336,336,-1,1
1,340,340,-1,1
1,349,349,-1,1
1,350,350,-1,1
1,353,353,-1,1
1,354,354,-1,1
1,358,358,-1,1
1,360,360,-1,1
1,362,362,-1,1
1,367,367,-1,1
1,373,373,-1,1
1,376,376,-1,1
1,391,391,0,1
1,395,395,0,1
1,396,396,-1,1
1,401,401,-1,1
1,402,402,-1,1
1,403,403,-1,1
1,404,404,-1,1
1,406,406,-1,1
1,419,419,-1,1
1,420,420,-1,1
1,425,425,-1,1
1,426,426,-1,1
1,427,427,-1,1
1,430,430,-1,1
1,431,431,-1,1
1,433,433,-1,1
1,438,438,-1,1
1,439,439,-1,1
1,441,441,-1,1
1,454,454,-1,1
1,457,457,-1,1
1,463,463,0,1
1,464,464,-1,1
1,468,468,-1,1
1,470,470,-1,1
1,471,471,-1,1
1,475,475,-1,1
1,478,478,-1,1
1,480,480,-1,1
1,483,483,-1,1
1,484,484,-1,1
1,488,488,-1,1
1,492,492,-1,1
1,494,494,-1,1
1,496,496,-1,1
1,510,510,-1,1
1,511,511,-1,1
1,513,513,-1,1
1,515,515,-1,1
1,521,521,-1,1
1,524,524,-1,1
1,525,525,-1,1
1,528,528,-1,1
1,531,531,-1,1
1,533,533,-1,1
1,535,535,-1,1
1,538,538,-1,1
1,545,545,-1,1
1,547,547,-1,1
1,552,552,-1,1
1,555,555,-1,1
1,556,556,-1,1
1,560,560,-1,1
1,561,561,-1,1
1,562,562,-1,1
1,566,566,-1,1
1,569,569,-1,1
1,571,571,-1,1
1,573,573,-1,1
1,576,576,-1,1
1,580,580,-1,1
1,583,583,-1,1
1,584,584,-1,1
1,587,587,-1,1
1,589,589,-1,1
1,594,594,-1,1
1,599,599,-1,1
1,603,603,-1,1
1,617,617,-1,1
1,621,621,-1,1
1,628,628,-1,1
1,639,639,-1,1
1,640,640,-1,1
1,643,643,-1,1
1,645,645,-1,1
1,648,648,-1,1
1,651,651,-1,1
1,654,654,-1,1
1,659,659,-1,1
1,668,668,-1,1
1,669,669,-1,1
1,676,676,-1,1
1,679,679,-1,1
1,680,680,-1,1
1,683,683,-1,1
1,685,685,-1,1
1,688,688,0,1
1,692,692,-1,1
1,694,694,-1,1
1,696,696,-1,1
1,698,698,-1,1
1,699,699,-1,1
1,701,701,-1,1
1,710,710,-1,1
1,715,715,-1,1
1,716,716,-1,1
1,718,718,-1,1
1,719,719,0,1
1,720,720,-1,1
1,722,722,-1,1
1,725,725,-1,1
1,729,729,-1,1
1,730,730,-1,1
1,736,736,-1,1
1,737,737,-1,1
1,738,738,-1,1
1,742,742,-1,1
1,745,745,-1,1
1,747,747,-1,1
1,748,748,-1,1
1,749,749,-1,1
1,751,751,-1,1
1,755,755,-1,1
1,756,756,-1,1
1,761,761,-1,1
1,763,763,-1,1
1,770,770,-1,1
1,778,778,-1,1
1,781,781,-1,1
1,783,783,-1,1
1,784,784,-1,1
1,787,787,-1,1
1,794,794,-1,1
1,795,795,-1,1
1,799,799,-1,1
1,800,800,-1,1
1,801,801,-1,1
1,802,802,-1,1
1,806,806,-1,1
1,808,808,-1,1
1,811,811,-1,1
1,813,813,-1,1
1,814,814,-1,1
1,816,816,-1,1
1,817,817,-1,1
1,822,822,-1,1
1,824,824,-1,1
1,825,825,-1,1
1,827,827,-1,1
1,830,830,-1,1
1,831,831,-1,1
1,835,835,-1,1
1,839,839,-1,1
1,840,840,-1,1
1,841,841,-1,1
1,844,844,-1,1
1,846,846,-1,1
1,849,849,-1,1
1,850,850,-1,1
1,855,855,-1,1
1,859,859,-1,1
1,861,861,-1,1
1,866,866,-1,1
1,867,867,-1,1
1,870,870,-1,1
1,874,874,-1,1
1,875,875,-1,1
1,878,878,-1,1
1,879,879,-1,1
1,884,884,-1,1
1,886,886,-1,1
1,889,889,-1,1
1,893,893,-1,1
